,rating,title,text,parent_asin,category
0,1.0,Greasy,It boasts that it’s made of all natural products but I ordered a number of its products and I’ve been very disappointed with all of them. This scrub is very greasy and I have to wash my face with something after using it.,B071LHHKQQ,All_Beauty
1,1.0,One Star,This thing is tiny! Can't fit regular sized bottles in it or anything!,B06WD4CS95,All_Beauty
2,1.0,Did Not Fit My Revlon or Conair Blow Dryers,"The item arrived in a timely manner. One star because it fits neither one of my blow dryers. The blow dryer it fits FOR SURE should be listed. I saw the Babyliss I think that's the correct name of that dryer listed as a package deal, but has anyone tried to attach this attachment with success. So right now it's useless to me. Don't think you should have to resort to duct tape as some have done and the Solia that it might fit is expensive. Still it would be wasting more money if the Solia doesn't fit. There are probably different models of the Solia. It would be helpful if someone would list the EXACT model and name that they attached it to.",B008A12F36,All_Beauty
3,1.0,"Meh, you get what you pay for","Nope, nope and another NOPE. Did not work as advertised on ANY sort of gel nails or regular polish. Doesn't plug correctly into almost anything. What a waste of money. Also smaller than in the photo.",B01KXDO4AK,All_Beauty
4,1.0,Do not buy,This wig head smells very old and moldy🤦🏽‍♀️,B08LBDGJX5,All_Beauty
5,1.0,DO NOT BUY!! DOESN'T WORK!!,"This does NOT work. Save your money and DO NOT buy it! After 3 weeks, my nails are more brittle and have not grown at all.",B08TDWL1B3,All_Beauty
6,1.0,Terrible,Lace on in forehead terrible,B08QZ12ZNT,All_Beauty
7,1.0,Not Blendable Or Natural at All,I returned this product for a full refund because it's not blendable at all and is really cheap. It literally is like putting face paint on for a stage which is fine if that's what you want. I really did not like it at all.,B01MY4I0IA,All_Beauty
8,1.0,Completely Dried Out,I have been ordering and using these pads for several years and have always been satisfied with the product. Now I have 2 boxes which have pads that are totally dried up in them. They are worthless and the return window closed with Amazon. The expiration date on the boxes is 22/2020. Very unhappy.,B00IG0677G,All_Beauty
9,1.0,One Star,"Box was open. Mask flakes off, does not peel off.",B01LGOVZ98,All_Beauty
10,1.0,My package was incomplete,I did not recieve my closure just the three bundles,B071ZZBK6H,All_Beauty
11,1.0,Dont buy!,Was not tanning lotion! For the price I paid for it was ridiculous!,B07ZJMLYBH,All_Beauty
12,1.0,SAVE UR MONEY,"it made me red, wish i could return :(",B07BJC2KVK,All_Beauty
13,1.0,Drill did not work!,"After watching the videos on how to use this drill, I was quite confident that this was the drill for me. So I went ahead and ordered it. To my disappointment, the drill did not work. After plugging it in to multiple outlets, there was still no power to the drill. Not sure if the cord was defective, or if it was simply the drill. Either way, this is a horrible product.",B07D1B499B,All_Beauty
14,1.0,NOT GLITTER.....MISLEADING ADVERTISEMENT!!!!!!,"VERY DISAPPOINTING AND MISLEADING ADVERTISEMENT OF THESE. THEY ARE NOT GLITTER POLISHES. I WAS SENT THE ""CATS EYE"" POLISH NOT WHAT I PAID FOR! THERE IS ZERO GLITTER IN THESE. SO YOU BASICALLY MISLEAD ME INTO THINKING I WAS PURCHASING GLITTER GEL POLISHES AND THEY ARE JUST PLAIN GEL POLISHES. SHAME ON YOU!! 👎👎👎👎",B086V1YYNX,All_Beauty
15,1.0,Garbage...save you $$,The butterfly locks are not like the picture. Very disappointed. The locks were so messy and not anything like I expected once unbagged. They look like a 2 year old made them. Will not buy again.,B08MQBDXT9,All_Beauty
16,1.0,Very disappointed!,The beads are not as vibrant in color as they appear in the picture. Plus I super upset that they charge 7.99 for these beads when this is the exact same brand they sell at the local beauty supply for 3.50. Don't waste your money on these beads.,B07JF4C4C2,All_Beauty
17,1.0,Reverts permed hair,"Honestly, the only thing I've noticed while using this product is how it reverts my permed hair.  Other than that, I didn't see an improvement in my hair at all.",B001KUPR4I,All_Beauty
18,1.0,"Pump will not work, can't get product out of the bottle.",Product would not come out of the bottle regardless of how much you pump it.,B00BN9PFUW,All_Beauty
19,1.0,Not worth it,"These are very flimsy and don't have a good natural shape to them. A lot of them also have scraped paint. You can maybe keep these on for one day. Also another weird thing is that they smell really bad, but really these look like Halloween clown nails. Terrible",B08K2QFDZD,All_Beauty
20,1.0,"Nope.  Sadly, junk.","I had one of these as a kid. The plate was larger, made of heavier plastic with a wooden stick. This plate is made of slippery, light/thin plastic on a plastic and doesn't have enough weight to really stay/spin on the end of the plastic stick.  Just frustrating.",B00886EW3E,All_Beauty
21,1.0,Didn't work for me!,"I used the can 1 time. So, the next week that I went to use it...the nozzle was all clogged up and I had a client that was really and truly ready to try fade to black and I had to disappoint him that day.",B00MW88WI0,All_Beauty
22,1.0,Broken and unusable,"Item arrived completely damaged and destroyed. It made a complete mess when I opened the box and took the product out, powder spilled all over my floors. This was a waste as most of the powder is gone and is now unusable. I was unable to send it back in time to get a refund, such a waste of time and money. Do not recommend.",B081KY84X3,All_Beauty
23,1.0,One Star,Not what i expected,B015GJJXZC,All_Beauty
24,1.0,Ineffective for Hyperpigmentation,"I really had high hopes for this product. I used it diligently, 1-2x daily. I used this along with a natural blemish face wash to make sure my skin was clean before application. I also used foundation with sunscreen (SPF 15) to protect my skin during the day.<br /><br />My outfit in the green is 1 month after daily use. Not only is there barely any difference, it also did not prevent my new scars from getting darker.<br /><br />I would not recommend this for very dark acne scars.",B06WD5J8KY,All_Beauty
25,1.0,Ouch,"I order the Yes to Cucumbers face wipes because I’ve used other yes to products in the past without issue and I was tired of washing my face like I was in a neutrogena commercial. About a minute after I used one, I noticed my face had a tingling/burning sensation. My face had turned very red and I ended up rinsing my face and keeping a cold, wet towel there for the pain.<br /><br />I don’t have sensitive skin and had never had a reaction like this. I will be returning the face wipes due to this poor experience.",B079NV9PBG,All_Beauty
26,1.0,N,La presentación del producto no es igual a lo que me llegó,B017L134S0,All_Beauty
27,1.0,One Star,Hair sheds lil crazy 🙄,B07434YS1S,All_Beauty
28,1.0,Unfortunately fell apart within a few months,"I've had brush for @ 3 months. I have fairly thick, wavy hair. I've used brush approximately 2 times a week since purchased. I alternate between this brush for dry hair and my wet brush. Brush head separated from handle this morning. In my opinion very pretty item but poorly made. Disappointing because I really like the feel and looks. Will not purchase again.",B07JJWX64V,All_Beauty
29,1.0,Don't waste your money,They were all broken when I received them but it would cost more than they were worth to sho them back. Emphatic thumbs down.,B01M0MH96R,All_Beauty
30,1.0,One Star,Do no waste your money.  Worst product I have used in a long whle,B01MEEH96I,All_Beauty
31,1.0,Found long hair inside,"Took it out of the package and give it a wash before first use, guess what? Found a long hair! Obviously this has been used before especially no one in my household has 2 ft long hair. I can’t trust this seller.",B08YYLJLQJ,All_Beauty
32,1.0,Not sure who it is supposed to fit,Not as described.  It was too small even for a baby's head and no clasp or way to stretch it to put it on.  Very disappointed.,B01GFUTJMS,All_Beauty
33,1.0,Save you money….🤨,This product is better off in the garbage!<br />Save your money!!!,B08T1HPPTR,All_Beauty
34,1.0,Broke the first time I wore it!,The necklace is pretty and looks good when worn but isn't made well. It broke the first time I wore it.,B00ESZLEXK,All_Beauty
35,1.0,Very bad ! No English language! It is not a good product !,Very bad ! No English language! It is not a good product !,B07D7VDBGC,All_Beauty
36,1.0,Nothing like Tom Ford- Smells TERRIBLE!!!,"This smells nothing like Tom Ford. Whoever posted it does must have never smelled it, thanks for the fake review. Smells terrible!!!",B00YE9LOLC,All_Beauty
37,1.0,SO...SO...DISAPPOINTED!!!,"WOW and not in a good way!!! I just received this unit and it is hands down the worst wig I have ever purchased! It absolutely CANNOT be worn as the tracks are quite visible. It is not full, and is ill fitting. No amount of adjusting helped. Kudos to the few reviewers that received a good one. It is unfortunate that companies can peddle such unacceptable merchandise.",B06WGN26DQ,All_Beauty
38,1.0,Not as picture show,Very disappointed the hair is far from the picture. On top of that lots of shading and barely fit in the head. What a ripoff. Don’t waste energy buying this! Amazon better do good reviews with its seller cuz too many ripoff around here.,B09B1HZ2TY,All_Beauty
39,1.0,Not happy,Arrived broke 😞,B08FMNB5M5,All_Beauty
40,1.0,What is that smell?,This stuff smells atrocious. Serious funk. Can't use it.,B0793J3RLN,All_Beauty
41,1.0,Dont buy it,I saw these stamps kits on youtube and was very excited to get it in the mail. They suck. Bad. They dont work AT ALL. Dont buy it. The stamp doesnt absorb the polish and the plate cleaner isnt great either. Id return it for a refund if i could.,B00DBNDS8Y,All_Beauty
42,1.0,One Star,The box came banged up and the lotion was also open and some spilled out in the box!,B01MR93H7U,All_Beauty
43,1.0,This is not the real product So Disappointed,"on a previous review for this brand but another product.  Cause me to itch uncontrollable and cause bumps on my scalp this product cannot be what is normally purchased in a store.  Shortly after I purchased more products from my local drug store and had no issues.  Do not buy this product I am sure it is a knock off it was really hard on me.  I would have requested a refund but it was out of the window, unfortunately, these types of products do not affect you within a quick amount of time so you will definitely be out of your return window.  Do not buy caution.  Sucks but I had to trash it without a refund.  I wish Amazon did a better job of researching the sellers because this was horrible.",B01ETV11XU,All_Beauty
44,1.0,Doesn't pick up the image.,Doesn't pick up the image!! Totally worthless. 😠,B01A1X8O1C,All_Beauty
45,1.0,Smells like ass,Worse than lard<br />No Vitamin E effect at all<br />Total waste of money and time<br />Smells like ass,B07K6VJFQH,All_Beauty
46,1.0,Returned. Horrible design.,Came unsharped.  Made cheap.,B00QGZO5D6,All_Beauty
47,1.0,"ouch, Ouch, OUCH!!!","UGH!  The irritation in your eyes this product causes is unbearable.  If you get the LEAST bit of this stuff in your eye, it stings like crazy. The reason for the low 1 star is because I'm going to toss it.  I don't want to find out later that it did something to my eyesight!",B01GGEVW14,All_Beauty
48,1.0,One Star,not a good product,B00KU8NYZU,All_Beauty
49,1.0,It came cracked and cant reach customer to get a new one,Cracked,B07D7MD75M,All_Beauty
50,1.0,Not satisfied at all with this product.,"I ended up returning this product for a few reasons:  It was much heavier than my older hair dryer!  When turned on, it went hot, then cool, then hot and seemed defective to me.  Took forever to dry my hair!  The switches are in a weird place and I my thumb would accidentally push a switch while in use.  Do not purchase this product!!!  There are better options out there.",B01M1IEADO,All_Beauty
51,1.0,The product is broken,I got it broken already.,B07CRKZHDQ,All_Beauty
52,1.0,Terrible waste of money,Do not buy. It doesn't work. Don't settle for a brand you don't know!!,B09YRRJD83,All_Beauty
53,1.0,They break easily,When you try to wrap these around your hair they don't stretch properly and they break easily. Try something else !,B010XRUE0K,All_Beauty
54,1.0,but it smelled horrible also looked nothing like the picture the ends was ...,"Arrived on time, but it smelled horrible also looked nothing like the picture the ends was frizzy. Not happy with it!",B077Z3HXQL,All_Beauty
55,1.0,Not really good,Not what I expected,B07NYS5DNQ,All_Beauty
56,1.0,DO NOT BUY,"DO NOT order. False advertisement, product isn’t what is listed at all. They fall apart as you use them and aren’t waffles textured at all.",B07TK15BQQ,All_Beauty
57,1.0,Paint peeled off,Turquoise paint peeled off after first use,B00ZJLQBEY,All_Beauty
58,1.0,Don’t waste your money.,"Don’t do it! Heed the warnings of those that have gone before you. There is a reason why this kit can not be returned and it’s not because contents are flammable 😒 The dip was great, the box was cute, the two bottles are small (but that is stated on the advertisement.) So what is the issue? You get halfway through... your manicure is looking awesome, then (like many other reviewers have stated) the Double duty gel applicator gels up and stops working. When I read that others had this issue- I assumed it was user error and that they left the applicator brush out while doing other steps. Nope. Wrong. Once you open the gel bottle, you have about 6 minutes to complete your manicure on all 10 nails before the gel turns into globby super glue and your brush gets so stiff that you are better off applying the coat with your finger... because that would poly more smoothly than the applicator. Super disappointing. I have one hand with a wonderful manicure and the other with semi-salvaged manicure job thanks to a lot of filing (but it’s obvious that the layers were applied with a brush that streaked on the gel.) Revel should really just include a replacement applicator brush with these kits. This was my first time trying their products and it will honestly be my last.",B08NC3M3DB,All_Beauty
